feature,anova_f_score
mfcc40_d1_c18_max,104.60445434662505
mfcc40_mfcc_c15_min,104.37628882018532
mfcc20_mfcc_c15_min,104.37628882018532
mfcc40_d1_c34_std,103.83535130801539
mfcc40_d1_c27_std,102.94041462333477
mfcc40_d2_c21_max,102.78974241696018
mfcc40_d1_c17_max,102.787201982451
mfcc20_d1_c17_max,102.787201982451
mfcc20_d1_c17_min,102.76475007427682
mfcc40_d1_c17_min,102.76475007427682
mfcc40_d2_c30_std,102.4855730645874
mfcc40_d2_c02_max,102.30623777911
mfcc13_d2_c02_max,102.30623777911
mfcc20_d2_c02_max,102.30623777911
mfcc20_d2_c16_max,102.23155765544874
mfcc40_d2_c16_max,102.23155765544874
mfcc40_d2_c39_std,102.19828364107308
mfcc40_d2_c32_std,102.1078832031708
mfcc40_d1_c14_max,102.05206211930349
mfcc20_d1_c14_max,102.05206211930349
mfcc40_d2_c18_min,102.01471436146194
mfcc20_d2_c18_min,102.01471436146194
mfcc40_mfcc_c37_std,101.72976016309165
mfcc40_d2_c31_std,101.50164288714647
