2026-03-10 12:37:10 | INFO | stdout | INFO:     ::1:56404 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:10 | INFO | stdout | INFO:     ::1:56404 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:10 | INFO | stdout | INFO:     ::1:56404 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:12 | INFO | stdout | INFO:     ::1:56416 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:12 | INFO | stdout | INFO:     ::1:56416 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:12 | INFO | stdout | INFO:     ::1:56416 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:14 | INFO | stdout | INFO:     ::1:56432 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:14 | INFO | stdout | INFO:     ::1:56432 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:14 | INFO | stdout | INFO:     ::1:56432 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:17 | INFO | stdout | INFO:     ::1:56448 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:17 | INFO | stdout | INFO:     ::1:56448 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:17 | INFO | stdout | INFO:     ::1:56448 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:18 | INFO | stdout | INFO:     ::1:56462 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:18 | INFO | stdout | INFO:     ::1:56462 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:18 | INFO | stdout | INFO:     ::1:56462 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:20 | INFO | stdout | INFO:     ::1:43546 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:20 | INFO | stdout | INFO:     ::1:43546 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:20 | INFO | stdout | INFO:     ::1:43546 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:21 | INFO | stdout | INFO:     ::1:43552 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:21 | INFO | stdout | INFO:     ::1:43552 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:21 | INFO | stdout | INFO:     ::1:43552 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:22 | INFO | stdout | INFO:     ::1:43568 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:22 | INFO | stdout | INFO:     ::1:43568 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:22 | INFO | stdout | INFO:     ::1:43568 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:23 | INFO | stdout | INFO:     ::1:43578 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:23 | INFO | stdout | INFO:     ::1:43578 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:23 | INFO | stdout | INFO:     ::1:43578 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:24 | INFO | stdout | INFO:     ::1:43590 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:24 | INFO | stdout | INFO:     ::1:43590 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:24 | INFO | stdout | INFO:     ::1:43590 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:25 | INFO | stdout | INFO:     ::1:43596 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:25 | INFO | stdout | INFO:     ::1:43596 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:25 | INFO | stdout | INFO:     ::1:43596 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:26 | INFO | stdout | INFO:     ::1:43600 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:26 | INFO | stdout | INFO:     ::1:43600 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:26 | INFO | stdout | INFO:     ::1:43600 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:27 | INFO | stdout | INFO:     ::1:43604 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:27 | INFO | stdout | INFO:     ::1:43604 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:27 | INFO | stdout | INFO:     ::1:43604 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:28 | INFO | stdout | INFO:     ::1:59532 - "POST /list_models HTTP/1.1" 200 OK
2026-03-10 12:37:28 | INFO | stdout | INFO:     ::1:59532 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2026-03-10 12:37:28 | INFO | stdout | INFO:     ::1:59532 - "POST /list_models HTTP/1.1" 200 OK
